id,sentiment
"12311_10",result
"8348_2",result
"5828_4",result
"7186_2",result
"12128_7",result
"2913_8",result
"4396_1",result
"395_2",result
"10616_1",result
"9074_9",result
"9252_3",result
"9896_9",result
"574_4",result
"11182_8",result
"11656_4",result
"2322_4",result
"8703_1",result
"7483_1",result
"6007_10",result
"12424_4",result
"4672_1",result
"10841_3",result
"8954_7",result
"7392_1",result
"10288_8",result
"5343_4",result
"4950_1",result
"9257_4",result
"8689_3",result
"4480_2",result
"9286_10",result
"12245_10",result
"7529_7",result
"4_4",result
"5299_2",result
"12077_8",result
"10701_2",result
"11579_1",result
"10993_1",result
"8913_1",result
"1350_3",result
"3804_2",result
"5025_3",result
"5170_8",result
"8225_8",result
"6427_7",result
"3165_3",result
"7902_9",result
"8208_3",result
"3577_8",result
"4865_1",result
"9063_3",result
"1106_1",result
"1117_9",result
"1050_4",result
"10755_9",result
"2729_8",result
"10072_10",result
"2904_7",result
"4584_2",result
"189_4",result
"6302_4",result
"8138_9",result
"1262_1",result
"2199_10",result
"6551_7",result
"8082_7",result
"4897_8",result
"7360_1",result
"11012_10",result
"12046_1",result
"2331_2",result
"8961_9",result
"751_7",result
"9884_10",result
"10016_8",result
"8023_10",result
"2628_1",result
"5832_1",result
"7302_1",result
"4501_3",result
"1121_7",result
"8334_3",result
"9789_10",result
"4230_10",result
"824_4",result
"6803_9",result
"3086_7",result
"1135_8",result
"10136_1",result
"11129_3",result
"2072_8",result
"9501_7",result
"319_10",result
"1693_7",result
"10886_1",result
"9406_8",result
"10376_10",result
"9902_1",result
"9938_8",result
"7080_9",result
"11944_8",result
"5249_1",result
"9599_2",result
"9620_1",result
"11244_1",result
"6841_10",result
"10050_4",result
"10512_9",result
"11327_3",result
"10681_8",result
"808_3",result
"546_7",result
"10765_1",result
"7189_9",result
"6005_9",result
"11915_9",result
"5740_10",result
"7097_10",result
"9573_10",result
"5084_4",result
"12332_7",result
"8154_1",result
"5610_1",result
"5323_9",result
"11034_8",result
"3977_2",result
"12380_7",result
"1737_8",result
"6030_9",result
"5918_7",result
"7061_9",result
"266_8",result
"1375_10",result
"8648_3",result
"10146_10",result
"4578_10",result
"4685_8",result
"11843_9",result
"5467_10",result
"10140_10",result
"7721_8",result
"11208_10",result
"1063_10",result
"8260_10",result
"3182_9",result
"2797_8",result
"7613_2",result
"11624_4",result
"4847_10",result
"10684_7",result
"6312_1",result
"4925_3",result
"4125_1",result
"2394_10",result
"12105_10",result
"7812_1",result
"1061_8",result
"9343_3",result
"7696_10",result
"9355_10",result
"782_9",result
"9882_10",result
"10642_10",result
"7410_2",result
"9591_4",result
"11902_3",result
"3495_7",result
"6733_1",result
"4552_1",result
"6722_1",result
"188_10",result
"5099_10",result
"10313_1",result
"6756_9",result
"6622_2",result
"4807_10",result
"7173_3",result
"11321_8",result
"7909_9",result
"8012_7",result
"8615_4",result
"8117_10",result
"1892_10",result
"4617_1",result
"1893_8",result
"5435_1",result
"162_3",result
"6516_10",result
"11588_7",result
"2006_1",result
"1594_4",result
"1472_1",result
"3647_1",result
"174_7",result
"5539_7",result
"3384_10",result
"3811_4",result
"4079_8",result
"1179_7",result
"3069_9",result
"3769_8",result
"9247_10",result
"10434_1",result
"1147_10",result
"5344_7",result
"8073_10",result
"7833_3",result
"8370_1",result
"9007_8",result
"6624_7",result
"6683_3",result
"12275_7",result
"11927_8",result
"1560_10",result
"1325_9",result
"3548_8",result
"607_1",result
"6702_7",result
"5702_3",result
"11345_8",result
"3428_4",result
"7209_9",result
"8425_8",result
"3087_1",result
"1119_8",result
"5715_3",result
"8645_1",result
"2149_3",result
"10403_10",result
"5628_1",result
"5570_10",result
"1613_3",result
"1454_4",result
"5094_3",result
"7982_1",result
"6894_2",result
"6554_1",result
"4721_3",result
"6904_4",result
"893_8",result
"4605_4",result
"11516_7",result
"11718_7",result
"5956_1",result
"7455_9",result
"6396_4",result
"1223_8",result
"8556_1",result
"6108_8",result
"11690_1",result
"3778_9",result
"3627_4",result
"8256_4",result
"533_1",result
"5235_4",result
"621_2",result
"5365_1",result
"8180_3",result
"7396_7",result
"9776_10",result
"8175_10",result
"3128_1",result
"4606_1",result
"6158_2",result
"3281_10",result
"4723_4",result
"11994_3",result
"7701_1",result
"103_3",result
"8908_10",result
"8876_1",result
"7519_9",result
"12456_8",result
"9514_8",result
"8680_8",result
"12402_10",result
"362_2",result
"9825_7",result
"2913_3",result
"7164_8",result
"11177_7",result
"5707_10",result
"8103_10",result
"6289_1",result
"11754_1",result
"11640_10",result
"9933_7",result
"185_10",result
"242_10",result
"9369_8",result
"7453_10",result
"7514_7",result
"10860_2",result
"8663_8",result
"9108_1",result
"7941_1",result
"10116_1",result
"9841_4",result
"4512_9",result
"4853_2",result
"2664_4",result
"9966_10",result
"5167_2",result
"3894_2",result
"3929_8",result
"7165_10",result
"5451_8",result
"2947_4",result
"4611_10",result
"5807_1",result
"9464_8",result
"3124_10",result
"2705_4",result
"12187_8",result
"12319_10",result
"9874_3",result
"3406_4",result
"2327_10",result
"605_10",result
"8080_4",result
"3074_10",result
"2499_3",result
"1013_1",result
"11535_1",result
"4118_7",result
"10492_8",result
"2129_4",result
"9814_10",result
"10671_9",result
"5980_10",result
"2755_2",result
"5461_2",result
"11979_1",result
"8810_1",result
"852_7",result
"10961_4",result
"7436_4",result
"11281_3",result
"4208_3",result
"8213_10",result
"9851_2",result
"4713_7",result
"9528_1",result
"3595_10",result
"5785_3",result
"10370_3",result
"1980_3",result
"8800_4",result
"4437_3",result
"28_3",result
"12171_1",result
"9359_3",result
"3831_9",result
"10962_7",result
"1500_9",result
"11470_10",result
"11843_3",result
"11200_4",result
"1067_1",result
"3333_1",result
"4487_4",result
"6428_1",result
"575_7",result
"10904_9",result
"11821_2",result
"11605_1",result
"1111_7",result
"10295_1",result
"1146_4",result
"2405_9",result
"11081_10",result
"2201_10",result
"4844_1",result
"11007_8",result
"6535_7",result
"2653_4",result
"8245_10",result
"9951_8",result
"6133_8",result
"10006_2",result
"7350_1",result
"4509_9",result
"948_1",result
"3987_1",result
"2947_10",result
"6041_3",result
"2946_1",result
"11967_4",result
"1185_10",result
"10323_2",result
"11706_2",result
"3663_1",result
"5602_10",result
"4870_10",result
"1994_1",result
"10807_7",result
"6871_3",result
"1175_2",result
"10919_7",result
"8127_10",result
"12497_4",result
"3274_1",result
"2568_3",result
"840_2",result
"5626_10",result
"7561_10",result
"4600_3",result
"3324_9",result
"8899_7",result
"5592_8",result
"12483_4",result
"7874_1",result
"5878_10",result
"4303_9",result
"9421_1",result
"10269_4",result
"10615_2",result
"2634_10",result
"7522_1",result
"9289_10",result
"4636_10",result
"1241_7",result
"9458_9",result
"11690_10",result
"7176_4",result
"6212_10",result
"6319_1",result
"5229_3",result
"466_9",result
"8693_2",result
"2952_10",result
"1128_1",result
"3975_10",result
"11365_10",result
"2074_9",result
"9768_10",result
"4895_1",result
"5726_10",result
"9993_10",result
"11319_2",result
"10561_2",result
"5455_8",result
"10684_3",result
"3652_3",result
"7825_1",result
"8806_1",result
"275_10",result
"2246_1",result
"11968_2",result
"2528_1",result
"8491_8",result
"13_1",result
"4530_8",result
"5207_3",result
"11648_10",result
"8260_1",result
"10730_10",result
"10402_3",result
"8077_1",result
"8598_8",result
"2809_3",result
"12490_10",result
"1447_9",result
"1605_3",result
"2311_4",result
"3235_9",result
"5725_10",result
"9025_10",result
"6049_9",result
"4803_10",result
"191_9",result
"420_3",result
"5238_2",result
"1280_9",result
"9408_4",result
"819_1",result
"1656_4",result
"9964_3",result
"10404_4",result
"12369_10",result
"6423_1",result
"9942_8",result
"1519_1",result
"100_10",result
"3216_10",result
"3909_10",result
"5034_7",result
"14_8",result
"5891_3",result
"8496_10",result
"7429_1",result
"9457_1",result
"9602_8",result
"4198_1",result
"154_2",result
"5070_2",result
"4207_8",result
"7758_8",result
"4439_9",result
"12042_1",result
"7244_1",result
"6854_1",result
"11932_10",result
"4151_10",result
"7265_1",result
"10272_7",result
"4256_4",result
"1225_7",result
"956_10",result
"6389_2",result
"1365_4",result
"4752_7",result
"276_10",result
"8766_9",result
"11225_10",result
"6920_1",result
"11536_1",result
"1923_9",result
"11460_10",result
"10054_7",result
"10845_1",result
"10231_4",result
"9430_8",result
"3226_2",result
"4298_3",result
"10635_4",result
"10567_4",result
"5460_10",result
"7310_7",result
"10330_2",result
"5151_9",result
"11_3",result
"1448_8",result
"10130_8",result
"2199_3",result
"1761_10",result
"2782_1",result
"7618_10",result
"85_10",result
"5730_3",result
"3641_1",result
"8190_9",result
"9533_10",result
"9508_1",result
"237_8",result
"3981_7",result
"7194_9",result
"10584_8",result
"248_2",result
"8358_4",result
"1218_1",result
"4191_10",result
"3090_8",result
"11923_2",result
"1640_8",result
"9972_3",result
"11818_4",result
"4350_10",result
"877_10",result
"10017_8",result
"7975_10",result
"8436_1",result
"6024_7",result
"3112_1",result
"951_10",result
"1622_1",result
"191_3",result
"5669_1",result
"1891_4",result
"12173_9",result
"7887_7",result
"3256_10",result
"5419_1",result
"7635_1",result
"8297_2",result
"7137_8",result
"7562_3",result
"9944_1",result
"4288_1",result
"8087_1",result
"4771_10",result
"10482_10",result
"5324_10",result
"3080_1",result
"10923_7",result
"1753_7",result
"317_10",result
"12474_8",result
"773_8",result
"388_1",result
"12141_2",result
"5667_1",result
"1071_9",result
"2897_10",result
"9481_4",result
"12025_1",result
"8879_7",result
"5683_1",result
"7026_1",result
"2439_1",result
"3631_7",result
"1650_9",result
"5378_7",result
"9745_1",result
"11563_8",result
"299_8",result
"9471_2",result
"1866_1",result
"2639_4",result
"5122_1",result
"12341_7",result
"2936_8",result
"8647_10",result
"4255_9",result
"7262_8",result
"8413_10",result
"10080_1",result
"3973_1",result
"8752_9",result
"4018_2",result
"7669_1",result
"10421_4",result
"7854_8",result
"162_8",result
"11614_9",result
"11343_8",result
"1708_7",result
"7115_4",result
"10498_10",result
"2944_8",result
"10474_3",result
"1263_1",result
"1693_4",result
"9600_9",result
"11173_2",result
"3961_2",result
"8011_1",result
"7386_8",result
"8787_8",result
"12349_9",result
"1776_4",result
"5885_4",result
"220_4",result
"5547_8",result
"2853_1",result
"2157_2",result
"11667_2",result
"194_7",result
"1633_1",result
"6897_2",result
"11568_2",result
"9219_1",result
"477_8",result
"8980_3",result
"4612_10",result
"8030_10",result
"1846_8",result
"2786_8",result
"2634_1",result
"3110_8",result
"11587_8",result
"11262_8",result
"5680_7",result
"4583_4",result
"1451_1",result
"4244_4",result
"6176_4",result
"8851_10",result
"908_9",result
"7494_9",result
"8061_3",result
"789_1",result
"2374_7",result
"11225_3",result
"4467_4",result
"8516_10",result
"4121_10",result
"10267_7",result
"6040_8",result
"8338_7",result
"2903_7",result
"6662_9",result
"5333_10",result
"7470_4",result
"8813_1",result
"4514_3",result
"9584_7",result
"11706_8",result
"11538_8",result
